business_area,developmentAreas,user_id,dev_areas_str
Corporate Social Responsibility,"['Community Investment and Development', 'Climate Change Mitigation and Adaptation']",g2IhUrQaoZZF9VLUs2hlQu9oH4K3,Community Investment and Development Climate Change Mitigation and Adaptation
Customer Service,"['Customer Experience Management', 'Technology Skills', 'Customer Relationship Management (CRM)', 'Product Knowledge', 'Policy and Procedure Adherence', 'Sales Techniques', 'Adaptability and Flexibility']",lOHYVUMzpOPjZRaxyhyMhfoXeF73,Customer Experience Management Technology Skills Customer Relationship Management (CRM) Product Knowledge Policy and Procedure Adherence Sales Techniques Adaptability and Flexibility
Education and Training,"['Health, Safety, and Wellbeing', 'Mentoring and Coaching Skills', 'Motivation and Engagement', 'Digital Literacy and E-learning', 'Career Development and Progression', 'Professionalism and Ethics', 'Supporting Diverse Learners', 'Emotional Intelligence and Empathy', 'Collaboration and Networking', 'Reflective Practice', 'Learning Theories and Styles']",JfoGspcugPMKBgdz7jR3Dq0pf5e2,"Health, Safety, and Wellbeing Mentoring and Coaching Skills Motivation and Engagement Digital Literacy and E-learning Career Development and Progression Professionalism and Ethics Supporting Diverse Learners Emotional Intelligence and Empathy Collaboration and Networking Reflective Practice Learning Theories and Styles"
Leadership and Management,"['Financial Acumen', 'Conflict Resolution', 'Decision-Making and Problem-Solving', 'Communication Skills']",2o3Mez0slRhV6Vu61q58MO4FKto1,Financial Acumen Conflict Resolution Decision-Making and Problem-Solving Communication Skills
Customer Service,"['Communication Skills', 'Teamwork and Collaboration', 'Customer Experience Management', 'Technology Skills', 'Customer Relationship Management (CRM)', 'Problem-Solving and Resolution']",mEMDE0BYBIN1HGdf220IyhHRke72,Communication Skills Teamwork and Collaboration Customer Experience Management Technology Skills Customer Relationship Management (CRM) Problem-Solving and Resolution
Education and Training,"['Communication Skills', 'Emotional Intelligence and Empathy', 'Motivation and Engagement', 'Health, Safety, and Wellbeing', 'Reflective Practice', 'Collaboration and Networking', 'Planning and Organizing Learning Activities', 'Digital Literacy and E-learning', 'Learning Theories and Styles', 'Mentoring and Coaching Skills', 'Supporting Diverse Learners', 'Cultural Awareness and Sensitivity', 'Problem-solving and Critical Thinking', 'Career Development and Progression', 'Professionalism and Ethics']",wI6QKLWq6BPdIKMrk2hMh0C9TK93,"Communication Skills Emotional Intelligence and Empathy Motivation and Engagement Health, Safety, and Wellbeing Reflective Practice Collaboration and Networking Planning and Organizing Learning Activities Digital Literacy and E-learning Learning Theories and Styles Mentoring and Coaching Skills Supporting Diverse Learners Cultural Awareness and Sensitivity Problem-solving and Critical Thinking Career Development and Progression Professionalism and Ethics"
Construction Management,"['Technical Skills and Construction Knowledge', 'Legal and Ethical Considerations']",Gje0g80vK8WxiMhYM3qFfedSnQI3,Technical Skills and Construction Knowledge Legal and Ethical Considerations
Construction and Trade,"['Communication Skills', 'Adaptability and Innovation', 'Sustainability and Eco-Friendly Practices']",Ebj3gdZ9z4VkJdsER6EA2RfRwBj1,Communication Skills Adaptability and Innovation Sustainability and Eco-Friendly Practices
Health and Safety,"['Health and Safety Management Systems', 'SHE Inspections and Monitoring', 'Financial Awareness and Budgeting', 'Incident Investigation', 'SHE Policy Implementation', 'Research and Best Practices', 'Safe Use of Equipment and Materials', 'Communication and Presentation Skills']",9acPNzZKc5Nyw2s9JAyQxUGKXFX2,Health and Safety Management Systems SHE Inspections and Monitoring Financial Awareness and Budgeting Incident Investigation SHE Policy Implementation Research and Best Practices Safe Use of Equipment and Materials Communication and Presentation Skills
Security Management,"['Risk Assessment and Management', 'Regulatory Compliance', 'Investigations and Reporting', 'Leadership and Team Management', 'Ethical and Legal Issues', 'Training and Development', 'Health and Safety', 'Business Continuity', 'Physical Security', 'Emergency Planning and Response', 'Customer Service and Communication', 'Financial Management']",X2jtswEKB5MSJAtlAXarVBeTWV32,Risk Assessment and Management Regulatory Compliance Investigations and Reporting Leadership and Team Management Ethical and Legal Issues Training and Development Health and Safety Business Continuity Physical Security Emergency Planning and Response Customer Service and Communication Financial Management
Recruitment,"['Understanding the Recruitment Process', 'Candidate Sourcing', 'Data Management and Compliance', 'Interview Coordination and Conducting']",sEQmlvE17ZXYe17k85j0T5gSwY33,Understanding the Recruitment Process Candidate Sourcing Data Management and Compliance Interview Coordination and Conducting
Sales and Marketing,"['Branding', 'Sales Techniques & Strategies', 'Product Marketing', 'Event & Experiential Marketing', 'Digital Marketing Mastery']",ROooiHRwT4h4RzA43MwWa4Gg8V02,Branding Sales Techniques & Strategies Product Marketing Event & Experiential Marketing Digital Marketing Mastery
Education and Training,"['Planning and Organizing Learning Activities', 'Career Development and Progression', 'Learning Theories and Styles', 'Digital Literacy and E-learning', 'Motivation and Engagement', 'Professionalism and Ethics', 'Mentoring and Coaching Skills', 'Collaboration and Networking', 'Reflective Practice', 'Health, Safety, and Wellbeing', 'Supporting Diverse Learners', 'Problem-solving and Critical Thinking', 'Emotional Intelligence and Empathy', 'Communication Skills', 'Cultural Awareness and Sensitivity']",5zm7Ke3WR2UEvZ5vnTEHtX7hJHH2,"Planning and Organizing Learning Activities Career Development and Progression Learning Theories and Styles Digital Literacy and E-learning Motivation and Engagement Professionalism and Ethics Mentoring and Coaching Skills Collaboration and Networking Reflective Practice Health, Safety, and Wellbeing Supporting Diverse Learners Problem-solving and Critical Thinking Emotional Intelligence and Empathy Communication Skills Cultural Awareness and Sensitivity"
Professional Development,"['Client Assessment and Goal Setting', 'Business Development for Coaches', 'Career Development and Transition Coaching', 'Technological Competence in Coaching', 'Health and Wellbeing in Coaching', 'Coaching Models and Theories', 'Reflective Practice and Continuous Improvement', 'Leadership and Management Coaching', 'Developing Coaching Relationships', 'Psychology of Coaching', 'Advanced Communication Skills', 'Organisational Context and Dynamics', 'Measurement and Evaluation of Coaching Impact']",NOf6XD8O9vMWKIviWqV3PanZpPk1,Client Assessment and Goal Setting Business Development for Coaches Career Development and Transition Coaching Technological Competence in Coaching Health and Wellbeing in Coaching Coaching Models and Theories Reflective Practice and Continuous Improvement Leadership and Management Coaching Developing Coaching Relationships Psychology of Coaching Advanced Communication Skills Organisational Context and Dynamics Measurement and Evaluation of Coaching Impact
Customer Service,"['Adaptability and Flexibility', 'Empathy and Emotional Intelligence', 'Problem-Solving and Resolution', 'Product Knowledge', 'Technology Skills', 'Communication Skills', 'Customer Relationship Management (CRM)']",XTTPQEF2IcUTgFnEwxb2BrSNGVG3,Adaptability and Flexibility Empathy and Emotional Intelligence Problem-Solving and Resolution Product Knowledge Technology Skills Communication Skills Customer Relationship Management (CRM)
Professional Development,"['Health and Wellbeing in Coaching', 'Coaching Techniques and Interventions', 'Cultural Awareness and Diversity', 'Leadership and Management Coaching']",NBbeLX4nntTNhK5mUmI2zAH086s1,Health and Wellbeing in Coaching Coaching Techniques and Interventions Cultural Awareness and Diversity Leadership and Management Coaching
Construction and Trade,"['Adaptability and Innovation', 'Contract and Legal Knowledge', 'Quality Control', 'Sustainability and Eco-Friendly Practices', 'Safety and Compliance', 'Communication Skills', 'Material Knowledge', 'Problem-Solving and Decision-Making', 'Team Leadership and Collaboration', 'Technical Skills Development']",adykZlU18pbHGXkvat15Eve4Mc32,Adaptability and Innovation Contract and Legal Knowledge Quality Control Sustainability and Eco-Friendly Practices Safety and Compliance Communication Skills Material Knowledge Problem-Solving and Decision-Making Team Leadership and Collaboration Technical Skills Development
Operations,"['Quality Assurance & Control', 'Technology Integration', 'Sustainability & Environmental Operations', 'Performance Metrics & KPIs', 'Project Management', 'Strategic Planning & Forecasting', 'Change Management']",VCQVo6tQf4d8dRBvo6wNKAszfjn1,Quality Assurance & Control Technology Integration Sustainability & Environmental Operations Performance Metrics & KPIs Project Management Strategic Planning & Forecasting Change Management
Facilities Management,"['Regulatory Compliance', 'Financial Management', 'Leadership and Team Management', 'Business Continuity and Disaster Recovery', 'Vendor and Contract Management', 'Building Management Systems (BMS)', 'Project Management', 'Customer Service and Communication', 'Space Planning and Management', 'Environmental and Sustainability Management', 'Health and Safety Management', 'Maintenance and Operations']",JJnN8H4pZnRAGYzutb2ctXQCoTN2,Regulatory Compliance Financial Management Leadership and Team Management Business Continuity and Disaster Recovery Vendor and Contract Management Building Management Systems (BMS) Project Management Customer Service and Communication Space Planning and Management Environmental and Sustainability Management Health and Safety Management Maintenance and Operations
Recruitment,"['Candidate Screening and Selection', 'Market and Industry Knowledge', 'Understanding the Recruitment Process', 'Legal and Ethical Considerations']",7VfOxq5ph1SpCBibDsC20iF9oGd2,Candidate Screening and Selection Market and Industry Knowledge Understanding the Recruitment Process Legal and Ethical Considerations
Project Management,"['Scheduling', 'Change Control', 'Ethical Guidance', 'Legislation and Compliance', 'Stakeholder Engagement', 'Continuous Improvement', 'Configuration Management', 'Negotiation and Influence', 'Project Monitoring and Reporting', 'Conflict Resolution', 'Business Case Review', 'Budget Management', 'Resource Management', 'Project Vision and Buy-In', 'Information Analysis', 'Governance and Reporting', 'Quality Management', 'Integrated Project Planning', 'Digital Tools and Software', 'Risk Management']",2NjKfE2rfQXHER6mENFKBZNK1Ve2,Scheduling Change Control Ethical Guidance Legislation and Compliance Stakeholder Engagement Continuous Improvement Configuration Management Negotiation and Influence Project Monitoring and Reporting Conflict Resolution Business Case Review Budget Management Resource Management Project Vision and Buy-In Information Analysis Governance and Reporting Quality Management Integrated Project Planning Digital Tools and Software Risk Management
Education and Training,"['Digital Literacy and E-learning', 'Motivation and Engagement', 'Reflective Practice', 'Collaboration and Networking', 'Planning and Organizing Learning Activities', 'Communication Skills', 'Supporting Diverse Learners', 'Professionalism and Ethics', 'Learning Theories and Styles']",I6kRwdw4WMcUiclWhq9y1S05tw42,Digital Literacy and E-learning Motivation and Engagement Reflective Practice Collaboration and Networking Planning and Organizing Learning Activities Communication Skills Supporting Diverse Learners Professionalism and Ethics Learning Theories and Styles
Security Management,"['Business Continuity', 'Investigations and Reporting', 'Ethical and Legal Issues', 'Leadership and Team Management', 'Security Operations Management', 'Risk Assessment and Management', 'Training and Development', 'Financial Management', 'Emergency Planning and Response', 'Security Technology and Systems', 'Health and Safety', 'Physical Security', 'Customer Service and Communication', 'Regulatory Compliance', 'Conflict Management']",Ebj3gdZ9z4VkJdsER6EA2RfRwBj1,Business Continuity Investigations and Reporting Ethical and Legal Issues Leadership and Team Management Security Operations Management Risk Assessment and Management Training and Development Financial Management Emergency Planning and Response Security Technology and Systems Health and Safety Physical Security Customer Service and Communication Regulatory Compliance Conflict Management
Human Resources (HR),"['HR Strategy and Planning', 'Employee Relations', 'Technology and HRIS (Human Resource Information Systems)', 'Performance Management', 'Health and Safety']",4w017weC2kUDOoSzcMNcKPHPtDM2,HR Strategy and Planning Employee Relations Technology and HRIS (Human Resource Information Systems) Performance Management Health and Safety
Human Resources (HR),"['Diversity and Inclusion', 'Health and Safety', 'Training and Development', 'HR Strategy and Planning', 'Organisational Development']",dqejm8VxnxZOWFZJg9IVQeyaYc72,Diversity and Inclusion Health and Safety Training and Development HR Strategy and Planning Organisational Development
Facilities Management,"['Customer Service and Communication', 'Space Planning and Management', 'Environmental and Sustainability Management', 'Technology and Innovation', 'Regulatory Compliance', 'Leadership and Team Management', 'Project Management', 'Vendor and Contract Management']",EHbqdQ82eNPAjo0JbxNbCGSMiGG2,Customer Service and Communication Space Planning and Management Environmental and Sustainability Management Technology and Innovation Regulatory Compliance Leadership and Team Management Project Management Vendor and Contract Management
Construction Management,"['Environmental and Sustainability Practices', 'Legal and Ethical Considerations', 'Project Planning and Scheduling', 'Client and Stakeholder Management', 'Problem-Solving and Decision-Making', 'Time Management', 'Site Management and Coordination', 'Communication and Reporting', 'Leadership and Team Management', 'Health and Safety Management', 'Construction Methods and Technology']",wI6QKLWq6BPdIKMrk2hMh0C9TK93,Environmental and Sustainability Practices Legal and Ethical Considerations Project Planning and Scheduling Client and Stakeholder Management Problem-Solving and Decision-Making Time Management Site Management and Coordination Communication and Reporting Leadership and Team Management Health and Safety Management Construction Methods and Technology
Leadership and Management,"['Conflict Resolution', 'Financial Acumen', 'Change Management', 'Communication Skills', 'Emotional Intelligence and Empathy', 'Performance Management', 'Decision-Making and Problem-Solving', 'Team Leadership and Employee Development', 'Strategic Thinking and Visioning', 'Operational Efficiency']",Uc1ibNkydrY2phUZlaheuohe11v2,Conflict Resolution Financial Acumen Change Management Communication Skills Emotional Intelligence and Empathy Performance Management Decision-Making and Problem-Solving Team Leadership and Employee Development Strategic Thinking and Visioning Operational Efficiency
Leadership and Management,"['Strategic Thinking and Visioning', 'Change Management', 'Decision-Making and Problem-Solving', 'Team Leadership and Employee Development', 'Conflict Resolution', 'Communication Skills', 'Financial Acumen', 'Operational Efficiency', 'Performance Management']",84nwH5CzCdSQcIIMrnv1g4HBheu1,Strategic Thinking and Visioning Change Management Decision-Making and Problem-Solving Team Leadership and Employee Development Conflict Resolution Communication Skills Financial Acumen Operational Efficiency Performance Management
Corporate Social Responsibility,"['Community Investment and Development', 'Corporate Philanthropy', 'Risk Management', 'Supply Chain Responsibility', 'Corporate Governance and Ethics', 'Sustainability Reporting and Communication', 'Sustainability and Environmental Management', 'CSR Strategy and Implementation']",dUvz3ipBwuVenMtbBNWmstL1lMO2,Community Investment and Development Corporate Philanthropy Risk Management Supply Chain Responsibility Corporate Governance and Ethics Sustainability Reporting and Communication Sustainability and Environmental Management CSR Strategy and Implementation
Leadership and Management,"['Team Leadership and Employee Development', 'Performance Management', 'Change Management', 'Communication Skills', 'Emotional Intelligence and Empathy', 'Operational Efficiency', 'Strategic Thinking and Visioning', 'Conflict Resolution', 'Decision-Making and Problem-Solving', 'Financial Acumen']",NTRrw80HsxODNlrlqAWGPcAEHbx2,Team Leadership and Employee Development Performance Management Change Management Communication Skills Emotional Intelligence and Empathy Operational Efficiency Strategic Thinking and Visioning Conflict Resolution Decision-Making and Problem-Solving Financial Acumen
Human Resources (HR),"['Health and Safety', 'Technology and HRIS (Human Resource Information Systems)', 'Legal and Compliance', 'Recruitment and Talent Acquisition', 'Training and Development', 'Diversity and Inclusion', 'Employee Relations', 'Compensation and Benefits', 'Performance Management', 'HR Strategy and Planning']",cJiBmQGfsObNWe8FOug2lkFNBtH3,Health and Safety Technology and HRIS (Human Resource Information Systems) Legal and Compliance Recruitment and Talent Acquisition Training and Development Diversity and Inclusion Employee Relations Compensation and Benefits Performance Management HR Strategy and Planning
Operations,"['Project Management', 'Employee Training & Development', 'Supply Chain Management']",njMzjRCBgSgb6J1rwJ38yhe6XbV2,Project Management Employee Training & Development Supply Chain Management
Recruitment,"['Recruitment Metrics and KPIs', 'Networking and Relationship Building', 'Offer Management and Onboarding']",7IXLPc5t9BUKaVmWlBMzkJUHLkh1,Recruitment Metrics and KPIs Networking and Relationship Building Offer Management and Onboarding
Facilities Management,"['Project Management', 'Health and Safety Management', 'Vendor and Contract Management', 'Space Planning and Management', 'Customer Service and Communication', 'Quality Management', 'Regulatory Compliance', 'Environmental and Sustainability Management', 'Financial Management', 'Technology and Innovation']",lkARqAVc1ddGyNKGf4miW8OJTig1,Project Management Health and Safety Management Vendor and Contract Management Space Planning and Management Customer Service and Communication Quality Management Regulatory Compliance Environmental and Sustainability Management Financial Management Technology and Innovation
Leadership and Management,"['Performance Management', 'Conflict Resolution', 'Communication Skills', 'Financial Acumen', 'Strategic Thinking and Visioning', 'Change Management', 'Operational Efficiency', 'Emotional Intelligence and Empathy', 'Team Leadership and Employee Development']",6lxrey2Rgcg2zWw6AqUahiLpr9j1,Performance Management Conflict Resolution Communication Skills Financial Acumen Strategic Thinking and Visioning Change Management Operational Efficiency Emotional Intelligence and Empathy Team Leadership and Employee Development
Human Resources (HR),"['Recruitment and Talent Acquisition', 'HR Strategy and Planning', 'Technology and HRIS (Human Resource Information Systems)', 'Employee Relations', 'Legal and Compliance', 'Organisational Development', 'Health and Safety', 'Diversity and Inclusion']",Ilu1l56rhXR2ONBr8m6SjoJpvhD3,Recruitment and Talent Acquisition HR Strategy and Planning Technology and HRIS (Human Resource Information Systems) Employee Relations Legal and Compliance Organisational Development Health and Safety Diversity and Inclusion
Customer Service,"['Multitasking and Time Management', 'Empathy and Emotional Intelligence']",0TsU0z5WP0METa3zXp2vThiRVBn1,Multitasking and Time Management Empathy and Emotional Intelligence
Customer Service,"['Customer Relationship Management (CRM)', 'Teamwork and Collaboration', 'Adaptability and Flexibility', 'Multitasking and Time Management', 'Policy and Procedure Adherence', 'Problem-Solving and Resolution', 'Sales Techniques', 'Customer Experience Management', 'Technology Skills', 'Product Knowledge', 'Empathy and Emotional Intelligence', 'Communication Skills']",fNopR8F2VyavQXAMpvz1TVoZEVU2,Customer Relationship Management (CRM) Teamwork and Collaboration Adaptability and Flexibility Multitasking and Time Management Policy and Procedure Adherence Problem-Solving and Resolution Sales Techniques Customer Experience Management Technology Skills Product Knowledge Empathy and Emotional Intelligence Communication Skills
Construction and Trade,"['Blueprint and Plan Reading', 'Team Leadership and Collaboration', 'Safety and Compliance', 'Sustainability and Eco-Friendly Practices']",cVGNoPzzwhgH4zCn9QFAZb1doOl2,Blueprint and Plan Reading Team Leadership and Collaboration Safety and Compliance Sustainability and Eco-Friendly Practices
Construction Management,"['Client and Stakeholder Management', 'Communication and Reporting', 'Technical Skills and Construction Knowledge', 'Time Management', 'Site Management and Coordination', 'Construction Methods and Technology', 'Environmental and Sustainability Practices', 'Problem-Solving and Decision-Making', 'Budget and Cost Control', 'Project Planning and Scheduling', 'Quality Control and Assurance', 'Building Codes and Regulations']",QugavF3hRcew0TjQ3oefiN1LAvi2,Client and Stakeholder Management Communication and Reporting Technical Skills and Construction Knowledge Time Management Site Management and Coordination Construction Methods and Technology Environmental and Sustainability Practices Problem-Solving and Decision-Making Budget and Cost Control Project Planning and Scheduling Quality Control and Assurance Building Codes and Regulations
Corporate Social Responsibility,"['Human Rights', 'Sustainability and Environmental Management', 'Corporate Philanthropy']",9gULcxfIZYRfZS7srPDkqJd9dgj1,Human Rights Sustainability and Environmental Management Corporate Philanthropy
Recruitment,"['Personal and Professional Development', 'Candidate Sourcing', 'Legal and Ethical Considerations', 'Business Development', 'Networking and Relationship Building', 'Technology and Recruitment Tools', 'Candidate Screening and Selection', 'Recruitment Metrics and KPIs', 'Interview Coordination and Conducting', 'Offer Management and Onboarding', 'Market and Industry Knowledge', 'Understanding the Recruitment Process', 'Client Relationship Management', 'Employer Branding']",gl4cBn1NtJMfhXoNbhm1XrHKASI2,Personal and Professional Development Candidate Sourcing Legal and Ethical Considerations Business Development Networking and Relationship Building Technology and Recruitment Tools Candidate Screening and Selection Recruitment Metrics and KPIs Interview Coordination and Conducting Offer Management and Onboarding Market and Industry Knowledge Understanding the Recruitment Process Client Relationship Management Employer Branding
Operations,"['Supply Chain Management', 'Facilities Management', 'Operational Efficiency & Process Improvement', 'Project Management']",OvvjpxbsptUZeOO7TYz9LIOSv4k2,Supply Chain Management Facilities Management Operational Efficiency & Process Improvement Project Management
Sales and Marketing,"['Sales Techniques & Strategies', 'Content Creation & Storytelling', 'Digital Marketing Mastery', 'Influencer & Affiliate Marketing', 'Event & Experiential Marketing', 'Sales Tools & Technologies', 'Public Relations (PR) in Marketing', 'Branding', 'Product Marketing']",hIIMP3IDzVh9Xe8BR475I5OZnNJ3,Sales Techniques & Strategies Content Creation & Storytelling Digital Marketing Mastery Influencer & Affiliate Marketing Event & Experiential Marketing Sales Tools & Technologies Public Relations (PR) in Marketing Branding Product Marketing
Operations,"['Change Management', 'Vendor & Outsourcing Management', 'Project Management', 'Strategic Planning & Forecasting', 'Crisis Management & Recovery']",ZgniFhMo5jdntxAQsavhiKbBfWb2,Change Management Vendor & Outsourcing Management Project Management Strategic Planning & Forecasting Crisis Management & Recovery
Administration and Office Support,"['Teamwork and Collaboration', 'Technical Skills', 'Communication', 'Data Management', 'Financial Skills', 'Customer Service', 'Organisational Skills', 'Problem-Solving']",GvVH4jxXuig1h6v6zjGYAVTTOAT2,Teamwork and Collaboration Technical Skills Communication Data Management Financial Skills Customer Service Organisational Skills Problem-Solving
Professional Development,"['Developing Coaching Relationships', 'Coaching Models and Theories', 'Health and Wellbeing in Coaching', 'Coaching Techniques and Interventions', 'Ethical and Professional Practice', 'Technological Competence in Coaching', 'Organisational Context and Dynamics', 'Client Assessment and Goal Setting', 'Cultural Awareness and Diversity', 'Business Development for Coaches', 'Psychology of Coaching', 'Measurement and Evaluation of Coaching Impact', 'Advanced Communication Skills', 'Career Development and Transition Coaching', 'Leadership and Management Coaching', 'Reflective Practice and Continuous Improvement']",bPT88JKSxFTTF3x9318GVgOYoGt2,Developing Coaching Relationships Coaching Models and Theories Health and Wellbeing in Coaching Coaching Techniques and Interventions Ethical and Professional Practice Technological Competence in Coaching Organisational Context and Dynamics Client Assessment and Goal Setting Cultural Awareness and Diversity Business Development for Coaches Psychology of Coaching Measurement and Evaluation of Coaching Impact Advanced Communication Skills Career Development and Transition Coaching Leadership and Management Coaching Reflective Practice and Continuous Improvement
Corporate Social Responsibility,"['Risk Management', 'Human Rights', 'Sustainability and Environmental Management']",3WmBCK9tWrPKuUTkjUL0n1hSufj1,Risk Management Human Rights Sustainability and Environmental Management
Security Management,"['Ethical and Legal Issues', 'Training and Development', 'Business Continuity', 'Investigations and Reporting', 'Financial Management', 'Conflict Management', 'Health and Safety', 'Security Technology and Systems', 'Security Operations Management', 'Risk Assessment and Management', 'Physical Security', 'Leadership and Team Management', 'Regulatory Compliance']",DeLAFqfgqZO8vowBr6SZKXIw91z2,Ethical and Legal Issues Training and Development Business Continuity Investigations and Reporting Financial Management Conflict Management Health and Safety Security Technology and Systems Security Operations Management Risk Assessment and Management Physical Security Leadership and Team Management Regulatory Compliance
Customer Service,"['Sales Techniques', 'Adaptability and Flexibility', 'Problem-Solving and Resolution']",q4u3RDhp5jekV2CvKYBQGn4vm4t1,Sales Techniques Adaptability and Flexibility Problem-Solving and Resolution
Recruitment,"['Offer Management and Onboarding', 'Client Relationship Management']",JfoGspcugPMKBgdz7jR3Dq0pf5e2,Offer Management and Onboarding Client Relationship Management
Administration and Office Support,"['Financial Skills', 'Communication', 'Technical Skills', 'Customer Service', 'Problem-Solving', 'Teamwork and Collaboration', 'Organisational Skills', 'Confidentiality and Discretion']",HVwIT6QYX2hNeRj4SmmN4fceOCE2,Financial Skills Communication Technical Skills Customer Service Problem-Solving Teamwork and Collaboration Organisational Skills Confidentiality and Discretion
Project Management,"['Integrated Project Planning', 'Ethical Guidance', 'Business Case Review', 'Digital Tools and Software', 'Resource Management']",9QQle4xXhQauiMyMs0LIXvRXSNG3,Integrated Project Planning Ethical Guidance Business Case Review Digital Tools and Software Resource Management
Human Resources (HR),"['Technology and HRIS (Human Resource Information Systems)', 'Performance Management', 'Compensation and Benefits', 'Employee Relations']",yAaobUfhAeeHYY8X7haNf6gd9y23,Technology and HRIS (Human Resource Information Systems) Performance Management Compensation and Benefits Employee Relations
Professional Development,"['Career Development and Transition Coaching', 'Reflective Practice and Continuous Improvement']",HELSJ8wNToPoq8sL6RbGZKfS38n2,Career Development and Transition Coaching Reflective Practice and Continuous Improvement
Construction and Trade,"['Problem-Solving and Decision-Making', 'Contract and Legal Knowledge', 'Sustainability and Eco-Friendly Practices', 'Quality Control', 'Technical Skills Development', 'Adaptability and Innovation', 'Safety and Compliance', 'Blueprint and Plan Reading', 'Communication Skills']",ezlVaDOZ04Te7wGibO1iabakA022,Problem-Solving and Decision-Making Contract and Legal Knowledge Sustainability and Eco-Friendly Practices Quality Control Technical Skills Development Adaptability and Innovation Safety and Compliance Blueprint and Plan Reading Communication Skills
Facilities Management,"['Business Continuity and Disaster Recovery', 'Regulatory Compliance', 'Technology and Innovation', 'Vendor and Contract Management']",n1iWyAYgF2WQJ9kLqPWDhLCu06H2,Business Continuity and Disaster Recovery Regulatory Compliance Technology and Innovation Vendor and Contract Management
Education and Training,"['Mentoring and Coaching Skills', 'Digital Literacy and E-learning', 'Planning and Organizing Learning Activities', 'Career Development and Progression', 'Communication Skills', 'Emotional Intelligence and Empathy', 'Reflective Practice']",dqejm8VxnxZOWFZJg9IVQeyaYc72,Mentoring and Coaching Skills Digital Literacy and E-learning Planning and Organizing Learning Activities Career Development and Progression Communication Skills Emotional Intelligence and Empathy Reflective Practice
Professional Development,"['Measurement and Evaluation of Coaching Impact', 'Developing Coaching Relationships', 'Coaching Techniques and Interventions', 'Health and Wellbeing in Coaching', 'Career Development and Transition Coaching', 'Coaching Models and Theories', 'Client Assessment and Goal Setting']",7VfOxq5ph1SpCBibDsC20iF9oGd2,Measurement and Evaluation of Coaching Impact Developing Coaching Relationships Coaching Techniques and Interventions Health and Wellbeing in Coaching Career Development and Transition Coaching Coaching Models and Theories Client Assessment and Goal Setting
Corporate Social Responsibility,"['Corporate Philanthropy', 'Innovation in Sustainability', 'Diversity and Inclusion', 'Supply Chain Responsibility', 'Employee Engagement and Wellbeing', 'Community Investment and Development', 'Sustainability Reporting and Communication']",OnR2s0ihnVW9DNRnP3r1ZZS4H3G2,Corporate Philanthropy Innovation in Sustainability Diversity and Inclusion Supply Chain Responsibility Employee Engagement and Wellbeing Community Investment and Development Sustainability Reporting and Communication
Administration and Office Support,"['Organisational Skills', 'Technical Skills', 'Data Management', 'Teamwork and Collaboration', 'Customer Service']",1l4EL43CFxhxkbuCJ5eeJmH5Qkl2,Organisational Skills Technical Skills Data Management Teamwork and Collaboration Customer Service
Operations,"['Project Management', 'Quality Assurance & Control', 'Strategic Planning & Forecasting', 'Vendor & Outsourcing Management', 'Operational Efficiency & Process Improvement', 'Facilities Management']",HVwIT6QYX2hNeRj4SmmN4fceOCE2,Project Management Quality Assurance & Control Strategic Planning & Forecasting Vendor & Outsourcing Management Operational Efficiency & Process Improvement Facilities Management
Leadership and Management,"['Change Management', 'Conflict Resolution', 'Team Leadership and Employee Development', 'Emotional Intelligence and Empathy', 'Communication Skills', 'Decision-Making and Problem-Solving', 'Strategic Thinking and Visioning', 'Financial Acumen', 'Performance Management']",E2uAeLRWf3VxtgR8l6QulZ7cyIO2,Change Management Conflict Resolution Team Leadership and Employee Development Emotional Intelligence and Empathy Communication Skills Decision-Making and Problem-Solving Strategic Thinking and Visioning Financial Acumen Performance Management
Project Management,"['Negotiation and Influence', 'Business Case Review', 'Risk Management', 'Governance and Reporting', 'Legislation and Compliance', 'Digital Tools and Software']",wjZogtOsqHgIfKUxcMywRyHJyUe2,Negotiation and Influence Business Case Review Risk Management Governance and Reporting Legislation and Compliance Digital Tools and Software
Project Management,"['Project Vision and Buy-In', 'Configuration Management', 'Scheduling', 'Budget Management', 'Change Control', 'Digital Tools and Software', 'Legislation and Compliance']",ibGwtj0uNLhnALOg5UT0SF7LWSL2,Project Vision and Buy-In Configuration Management Scheduling Budget Management Change Control Digital Tools and Software Legislation and Compliance
Human Resources (HR),"['Technology and HRIS (Human Resource Information Systems)', 'Recruitment and Talent Acquisition', 'Organisational Development', 'Employee Relations', 'HR Strategy and Planning', 'Diversity and Inclusion', 'Training and Development', 'Legal and Compliance']",l78uyUrW1UNbZSr9XMBTbi8alsA2,Technology and HRIS (Human Resource Information Systems) Recruitment and Talent Acquisition Organisational Development Employee Relations HR Strategy and Planning Diversity and Inclusion Training and Development Legal and Compliance
